sheet,company,tier,country,parent,domain,sectors,concrete_fit,also_uk,also_eu,also_us,enr_rank,notes
US,Turner Construction Co.,1,"New York, NY",HOCHTIEF / ACS,turnerconstruction.com,"General building, telecom/data centres",High,No,Yes,,1,$28.3bn 2025 revenue; 80% CM-at-Risk. ACS/HOCHTIEF-owned — same group as Dragados UK.
US,Bechtel,1,"Reston, VA",Bechtel Group,bechtel.com,"Nuclear, LNG, infrastructure, defence",High,Yes,Yes,,2,$19.5bn 2025 revenue; $40.8bn new contracts. UK nuclear/rail presence.
US,STO Building Group,1,"New York, NY",STO Building Group,stobuildinggroup.com,"Interiors, general building",Medium,Yes,No,,3,$15.6bn 2025 revenue. Structure Tone London active.
US,Kiewit Corp.,1,"Omaha, NE",Kiewit,kiewit.com,"Heavy civil, power, transportation",High,No,No,,4,$41.4bn new contracts — biggest forward book in the top 10. Kiewit Infrastructure West is the most recurring GC in the West US database.
US,The Whiting-Turner Contracting Co.,1,"Baltimore, MD",Whiting-Turner,whiting-turner.com,"General building, telecom",High,No,No,,5,
US,MasTec Inc.,1,"Coral Gables, FL",MasTec,mastec.com,"Telecom, pipeline, power delivery",Low,No,No,,6,Utility/telecom-led — low concrete fit.
US,DPR Construction,1,"Santa Clara, CA",DPR,dpr.com,"Advanced technology, life sciences, healthcare",High,No,No,,7,
US,HITT Contracting,1,"Falls Church, VA",HITT,hitt-gc.com,"Data centres, interiors, commercial",High,No,No,,8,
US,Fluor,1,"Irving, TX",Fluor Corp.,fluor.com,"Industrial, energy, government",Medium,Yes,Yes,,9,
US,Mortenson,1,"Minneapolis, MN",Mortenson,mortenson.com,"Data centres, renewables, sports",High,No,No,,10,Up 12 places; $10.8bn 2025 revenue. $10bn Meta Indiana campus with Turner.
US,Hensel Phelps,1,"Greeley, CO",Hensel Phelps,henselphelps.com,"Aviation, government, data centres",High,No,No,,11,
US,Holder Construction Group,1,"Atlanta, GA",Holder,holderconstruction.com,"Data centres, aviation, commercial",High,No,No,,12,
US,McDermott International,1,"Houston, TX",McDermott,mcdermott.com,"Offshore, LNG, industrial",Medium,Yes,Yes,,13,
US,PCL Construction Enterprises,1,"Denver, CO",PCL,pcl.com,"Buildings, civil, industrial",High,No,No,,14,Canadian-parented; strong North America coverage.
US,Clark Group,1,"McLean, VA",Clark Construction,clarkconstruction.com,"Buildings, civil, concrete self-perform",High,No,No,,15,Self-performs concrete.
US,The Walsh Group,1,"Chicago, IL",Walsh,walshgroup.com,"Heavy civil, buildings, transportation",High,No,No,,16,
US,Skanska USA,1,"New York, NY",Skanska AB,usa.skanska.com,"Civil, buildings, transportation",High,Yes,Yes,,17,Same group as Skanska UK — cross-region account.
US,AECOM,1,"Dallas, TX",AECOM,aecom.com,"Program management, design-build",Medium,Yes,Yes,,18,
US,Gilbane Building Co.,1,"Providence, RI",Gilbane,gilbaneco.com,"Education, healthcare, life sciences",High,No,No,,19,
US,Clayco,1,"Chicago, IL",Clayco,claycorp.com,"Industrial, data centres, life sciences",High,No,No,,20,
US,JE Dunn Construction,1,"Kansas City, MO",JE Dunn,jedunn.com,"Healthcare, data centres, government",High,No,No,,21,
US,McCarthy Holdings,1,"St. Louis, MO",McCarthy,mccarthy.com,"Healthcare, water, education, renewables",High,No,No,,22,
US,Suffolk Construction,1,"Boston, MA",Suffolk,suffolk.com,"Buildings, healthcare, aviation",High,No,No,,23,
US,Brasfield & Gorrie,1,"Birmingham, AL",Brasfield & Gorrie,brasfieldgorrie.com,"Healthcare, industrial, commercial",High,No,No,,24,
US,FlatironDragados,1,"Atlanta, GA",ACS Group,flatirondragados.com,"Heavy civil, bridges, transportation",High,Yes,Yes,,25,ACS-owned — same group as Dragados UK. Up 26 places.
US,Walbridge,1,"Detroit, MI",Walbridge,walbridge.com,"Automotive, industrial, data centres",High,No,No,,26,
US,Balfour Beatty US,1,"Dallas, TX",Balfour Beatty plc,balfourbeattyus.com,"Buildings, civils, military housing",High,Yes,No,,27,Same group as Balfour Beatty UK — cross-region account.
US,Tutor Perini Corp.,1,"Sylmar, CA",Tutor Perini,tutorperini.com,"Heavy civil, mass transit, buildings",High,No,No,,28,~$8bn+ of NYC work in the 007 database.
US,The Yates Cos.,1,"Philadelphia, MS",Yates,wgyates.com,"Industrial, commercial, gaming",High,No,No,,29,
US,Gray,1,"Lexington, KY",Gray,gray.com,"Manufacturing, food & beverage, EV plants",High,No,No,,30,
US,Hoffman Construction Co.,1,"Lake Oswego, OR",Hoffman,hoffmancorp.com,"Semiconductor, healthcare, aviation",High,No,No,,31,
US,Swinerton,1,"Concord, CA",Swinerton,swinerton.com,"Healthcare, aviation, mass timber",High,No,No,,32,
US,Ryan Cos. US,1,"Minneapolis, MN",Ryan Companies,ryancompanies.com,"Industrial, healthcare, mixed-use",High,No,No,,33,
US,ARCO Construction Cos.,1,"St. Louis, MO",ARCO,arco1.com,"Industrial, logistics, design-build",High,No,No,,34,
US,Burns & McDonnell,1,"Kansas City, MO",Burns & McDonnell,burnsmcd.com,"Power, transmission, aviation",Medium,No,No,,35,
US,Consigli Building Group,1,"Milford, MA",Consigli,consigli.com,"Life sciences, education, healthcare",High,No,No,,36,
US,Granite Construction Co.,1,"Watsonville, CA",Granite Construction,graniteconstruction.com,"Highways, bridges, materials",High,No,No,,37,
US,Barton Malow Holdings,1,"Southfield, MI",Barton Malow,bartonmalow.com,"Sports, industrial, education",High,No,No,,38,
US,Michels,1,"Brownsville, WI",Michels,michels.us,"Pipeline, utility, foundations",Medium,No,No,,39,
US,Alberici-Flintco,1,"St. Louis, MO",Alberici,alberici.com,"Industrial, water, healthcare",High,No,No,,40,
US,Austin Industries,1,"Dallas, TX",Austin Industries,austin-ind.com,"Commercial, industrial, civil",High,No,No,,41,
US,Sundt Construction,1,"Tempe, AZ",Sundt,sundt.com,"Transportation, water, industrial, concrete self-perform",High,No,No,,42,Self-performs concrete across multiple trades.
US,Moss,1,"Fort Lauderdale, FL",Moss & Associates,mosscm.com,"Multifamily, solar, education",High,No,No,,43,
US,Big-D Construction,1,"Salt Lake City, UT",Big-D,big-d.com,"Industrial, commercial, healthcare",High,No,No,,44,
US,Clune Construction,1,"Chicago, IL",Clune,clunegc.com,"Interiors, data centres",Medium,No,No,,45,
US,Fortis Construction,1,"Portland, OR",Fortis,fortisconstruction.com,"Data centres, semiconductor, education",High,No,No,,46,
US,Crossland Construction Co.,1,"Columbus, KS",Crossland,crossland.com,"Industrial, education, commercial",High,No,No,,47,
US,Turner Industries Group,1,"Baton Rouge, LA",Turner Industries,turner-industries.com,"Industrial maintenance, petrochemical",Low,No,No,,48,Unrelated to Turner Construction.
US,Black & Veatch,1,"Overland Park, KS",Black & Veatch,bv.com,"Power, water, telecom",Medium,No,No,,49,
US,Haskell,1,"Jacksonville, FL",Haskell,haskell.com,"Food & beverage, water, manufacturing",High,No,No,,50,
US,Construction Partners,2,"Dothan, AL",Construction Partners,constructionpartners.net,"Roads, asphalt (Southeast)",Medium,No,No,,51,
US,Kokosing Group,2,"Westerville, OH",Kokosing,kokosing.biz,"Heavy civil, marine, industrial",High,No,No,,52,
US,F.A. Wilhelm Construction,2,"Indianapolis, IN",Wilhelm,wilhelm-const.com,"Industrial, healthcare, concrete self-perform",High,No,No,,53,
US,Evans General Contractors,2,"Alpharetta, GA",Evans GC,evansgeneral.com,"Industrial, logistics",High,No,No,,54,
US,SOLV Energy,2,"San Diego, CA",SOLV Energy,solvenergy.com,Utility-scale solar EPC,Low,No,No,,55,
US,Ferrovial Construction,2,"Austin, TX",Ferrovial SE,ferrovial.com,"Highways, bridges, tunnels",High,Yes,Yes,,56,US arm of Ferrovial — cross-region account.
US,CORE Construction Group,2,"Frisco, TX",CORE,coreconstruction.com,"Education, healthcare, municipal",High,No,No,,57,
US,Garney,2,"North Kansas City, MO",Garney,garney.com,Water and wastewater,High,No,No,,58,Water infrastructure — very high mass-concrete content.
US,Okland Construction,2,"Salt Lake City, UT",Okland,okland.com,"Healthcare, education, industrial",High,No,No,,59,
US,Shawmut Design and Construction,2,"Boston, MA",Shawmut,shawmut.com,"Interiors, retail, academic",Medium,No,No,,60,
US,The PENTA Building Group,2,"Henderson, NV",PENTA,pentabldggroup.com,"Hospitality, gaming, healthcare",High,No,No,,61,
US,The Weitz Co.,2,"Des Moines, IA",Weitz,weitz.com,"Industrial, senior living, data centres",High,No,No,,62,
US,ECC,2,"Burlingame, CA",ECC,ecc.net,"Government, environmental, energy",Medium,No,No,,63,Up 80 places.
US,Manhattan Construction Group,2,"Tulsa/Naples, OK",Manhattan Construction,manhattanconstructiongroup.com,"Sports, aviation, government",High,No,No,,64,
US,E. E. Reed Construction,2,"Sugar Land, TX",E.E. Reed,eereed.com,"Commercial, industrial",High,No,No,,65,
US,Adolfson & Peterson Construction,2,"Minneapolis, MN",A&P,a-p.com,"Education, healthcare, multifamily",High,No,No,,66,
US,Performance Contractors,2,"Baton Rouge, LA",Performance Contractors,performance-contractors.com,"Industrial, petrochemical",Low,No,No,,67,
US,The Christman Co.,2,"Lansing, MI",Christman,christmanco.com,"Education, government, healthcare",Medium,No,No,,68,
US,Robins & Morton,2,"Birmingham, AL",Robins & Morton,robinsmorton.com,"Healthcare, hospitality",High,No,No,,69,
US,J.T. Magen & Co.,2,"New York, NY",J.T. Magen,jtmagen.com,"Interiors, commercial (NYC)",Medium,No,No,,70,
US,McGough,2,"Roseville, MN",McGough,mcgough.com,"Healthcare, commercial, data centres",High,No,No,,71,
US,Harvey Cleary,2,"Houston, TX",Harvey Cleary,harveycleary.com,"Commercial, healthcare",High,No,No,,72,
US,Messer Construction Co.,2,"Cincinnati, OH",Messer,messer.com,"Healthcare, education, life sciences",High,No,No,,73,
US,Rogers-O'Brien Construction,2,"Dallas, TX",Rogers-O'Brien,r-o.com,"Commercial, healthcare, multifamily",High,No,No,,74,
US,Ames Construction,2,"Burnsville, MN",Ames,amesconstruction.com,"Heavy civil, mining, transportation",High,No,No,,75,
US,Coastal Construction Group,2,"Miami, FL",Coastal,coastalconstruction.com,"High-rise residential, hospitality",High,No,No,,76,Florida high-rise — very high RC intensity.
US,Pepper Construction,2,"Chicago, IL",Pepper,pepperconstruction.com,"Commercial, healthcare, industrial",High,No,No,,77,
US,Day & Zimmermann,2,"Philadelphia, PA",Day & Zimmermann,dayzim.com,"Industrial maintenance, nuclear services",Low,No,No,,78,
US,Joeris General Contractors,2,"San Antonio, TX",Joeris,joeris.com,"Education, healthcare",Medium,No,No,,79,
US,T5 Construction,2,"Atlanta, GA",T5 Data Centers,t5datacenters.com,Data centres,High,No,No,,80,New entrant to the Top 400.
US,Power Construction Co.,2,"Chicago, IL",Power Construction,powerconstruction.net,"Healthcare, high-rise residential",High,No,No,,81,
US,The Conlan Company,2,"Marietta, GA",Conlan,conlan.com,"Industrial, logistics",High,No,No,,82,
US,Nabholz,2,"Conway, AR",Nabholz,nabholz.com,"Industrial, healthcare, education",High,No,No,,83,
US,Miron Construction Co.,2,"Neenah, WI",Miron,miron-construction.com,"Industrial, education, healthcare",High,No,No,,84,
US,BL Harbert International,2,"Birmingham, AL",BL Harbert,blharbert.com,"Government/international, commercial",High,No,Yes,,85,
US,Brinkmann Constructors,2,"Chesterfield, MO",Brinkmann,brinkmannconstructors.com,"Multifamily, industrial, senior living",High,No,No,,86,
US,Choate Construction Co.,2,"Atlanta, GA",Choate,choateco.com,"Commercial, multifamily, healthcare",High,No,No,,87,
US,JRM Construction Management,2,"New York, NY",JRM,jrmcm.com,Interiors (NYC),Low,No,No,,88,
US,Wharton-Smith,2,"Sanford, FL",Wharton-Smith,whartonsmith.com,"Water/wastewater, education",High,No,No,,89,
US,Caddell Construction,2,"Montgomery, AL",Caddell,caddell.com,"Federal, embassies, aviation",High,No,No,,90,
US,Devcon Construction,2,"Milpitas, CA",Devcon,devcon-const.com,"Commercial, data centres (Bay Area)",High,No,No,,91,
US,Phillips Infrastructure Corp.,2,"Knoxville, TN",Phillips Infrastructure,philcon.com,"Infrastructure, industrial",High,No,No,,92,Up 46 places.
US,Pogue Construction,2,"McKinney, TX",Pogue,pogueconstruction.com,"Education, municipal",Medium,No,No,,93,
US,Allan Myers,2,"Worcester, PA",Allan Myers,allanmyers.com,"Heavy civil, site development, materials",High,No,No,,94,
US,W.E. O'Neil Construction,2,"Chicago, IL",W.E. O'Neil,weoneil.com,"Multifamily, education, healthcare",High,No,No,,95,
US,PJ Dick - Trumbull - Lindy Group,2,"Pittsburgh, PA",PJ Dick,pjdick.com,"Buildings, heavy civil, paving",High,No,No,,96,
US,Ferreira Construction Co.,2,"Branchburg, NJ",Ferreira,ferreiraconstruction.com,"Heavy civil, solar, utilities",High,No,No,,97,
US,Hoar Construction,2,"Birmingham, AL",Hoar,hoar.com,"Multifamily, healthcare, mixed-use",High,No,No,,98,
US,Lane Industries,2,"Charlotte, NC",Webuild SpA,laneconstruct.com,"Heavy civil, highways, tunnels",High,No,Yes,,99,Webuild-owned — same group as the Italian megaproject business. Cross-region account.
US,The Boldt Group,2,"Appleton, WI",Boldt,boldt.com,"Healthcare, power, industrial",High,No,No,,100,
US,The Rudolph Libbe Cos.,2,"Walbridge, OH",Rudolph Libbe,rlgbuilds.com,"Industrial, commercial",High,No,No,,101,
US,ESS Cos.,2,"Columbia, MO",ESS,essgc.com,"Industrial, commercial",Medium,No,No,,102,
US,OHLA USA,2,"East Elmhurst, NY",OHLA Group,ohla-usa.com,"Heavy civil, transit, buildings",High,No,Yes,,103,OHLA-owned — cross-region account.
US,Bartlett Cocke General Contractors,2,"San Antonio, TX",Bartlett Cocke,bartlettcocke.com,"Education, healthcare",Medium,No,No,,104,
US,ESI Construction,2,"Meridian, ID",ESI,esiconstruction.com,"Industrial, commercial (Northwest)",High,No,No,,105,
US,BNBuilders,2,"Seattle, WA",BNBuilders,bnbuilders.com,"Life sciences, education, tech",High,No,No,,106,
US,The Cianbro Cos.,2,"Pittsfield, ME",Cianbro,cianbro.com,"Heavy civil, marine, industrial",High,No,No,,107,
US,Alston Construction Co.,2,"Atlanta, GA",Alston,alstonco.com,"Industrial, logistics",High,No,No,,108,
US,Webcor,2,"San Francisco, CA",Obayashi Corp.,webcor.com,"High-rise, healthcare, concrete self-perform",High,No,No,,109,Self-performs concrete; Obayashi-owned.
US,Rycon Construction,2,"Pittsburgh, PA",Rycon,ryconinc.com,"Commercial, retail, multifamily",Medium,No,No,,110,
US,Satterfield & Pontikes Construction,2,"Houston, TX",Satterfield & Pontikes,satpon.com,"Education, municipal, healthcare",Medium,No,No,,111,
US,Vinci Construction USA,2,"Winter Park, FL",VINCI SA,vinciconstruction.com,"Civil, buildings",High,Yes,Yes,,112,US arm of VINCI — cross-region account.
US,ASRC Industrial,2,"Tempe, AZ",ASRC,asrcindustrial.com,"Environmental, industrial services",Low,No,No,,113,
US,IPS-Integrated Project Services,2,"Blue Bell, PA",IPS,ipsdb.com,Pharma/biotech facilities,Medium,Yes,Yes,,114,
US,Traylor Construction Group,2,"Evansville, IN",Traylor Bros.,traylor.com,"Tunnelling, marine, heavy civil",High,No,No,,115,Tunnelling — very high concrete intensity.
US,Herzog Enterprises,2,"St. Joseph, MO",Herzog,herzog.com,"Rail, transit",High,No,No,,116,
US,Hawaiian Dredging Construction Co.,2,"Honolulu, HI",Kajima Corp.,hdcc.com,"Buildings, heavy civil (Hawaii)",High,No,No,,117,
US,Dennis Group,2,"Springfield, MA",Dennis Group,dennisgrp.com,Food & beverage plants,Medium,No,Yes,,118,
US,Hunter Roberts Construction Group,2,"New York, NY",Hunter Roberts,hunterroberts.com,"Commercial, education, healthcare",High,No,No,,119,
US,LeChase Construction Services,2,"Rochester, NY",LeChase,lechase.com,"Education, healthcare, industrial",Medium,No,No,,120,
US,Jingoli - DCO,2,"Lawrenceville, NJ",Jingoli,jingoli.com,"Power, gaming, infrastructure",High,No,No,,121,
US,Teichert Construction,2,"Sacramento, CA",Teichert,teichert.com,"Heavy civil, materials, site work",High,No,No,,122,
US,Anderson Columbia Co.,2,"Lake City, FL",Anderson Columbia,andersoncolumbia.com,"Highways, asphalt",Medium,No,No,,123,
US,James G. Davis Construction Corp.,2,"Rockville, MD",DAVIS,davisconstruction.com,"Commercial, multifamily (DC metro)",High,No,No,,124,
US,Hathaway Dinwiddie Construction Co.,2,"San Francisco, CA",Hathaway Dinwiddie,hdcco.com,"High-rise, life sciences, tech",High,No,No,,125,
US,The McShane Cos.,2,"Rosemont, IL",McShane,mcshane.com,"Industrial, multifamily",High,No,No,,126,
US,Barnard Construction Co.,2,"Bozeman, MT",Barnard,barnard-inc.com,"Dams, tunnels, heavy civil",High,No,No,,127,USACE LA District mass-concrete work in the 007 database.
US,FCL Builders,2,"Itasca, IL",FCL Builders,fclbuilders.com,"Industrial, logistics",High,No,No,,128,
US,KPRS Construction Group,2,"Brea, CA",KPRS,kprsinc.com,"Industrial, commercial (SoCal)",High,No,No,,129,
US,SpawGlass Holding,2,"Selma, TX",SpawGlass,spawglass.com,"Education, healthcare, civil",Medium,No,No,,130,
US,Goodfellow Bros.,2,"Wenatchee, WA",Goodfellow Bros.,goodfellowbros.com,"Heavy civil, site development",High,No,No,,131,
US,Catamount Constructors,2,"Lakewood, CO",Catamount,catamountinc.com,"Retail, industrial, commercial",Medium,No,No,,132,
US,The Beck Group,2,"Dallas, TX",Beck,beckgroup.com,"Integrated design-build, commercial",High,No,No,,133,
US,Jacobsen Construction Co.,2,"Salt Lake City, UT",Jacobsen,jacobsenconstruction.com,"Healthcare, education, civic",High,No,No,,134,
US,McCownGordon Construction,2,"Kansas City, MO",McCownGordon,mccowngordon.com,"Education, healthcare, industrial",Medium,No,No,,135,
US,Findorff,2,"Madison, WI",Findorff,findorff.com,"Healthcare, education, commercial",Medium,No,No,,136,
US,F.H. Paschen,2,"Chicago, IL",F.H. Paschen,fhpaschen.com,"Transit, education, infrastructure",High,No,No,,137,
US,James R. Vannoy & Sons Construction,2,"Jefferson, NC",Vannoy,jrvannoy.com,"Highways, heavy civil",High,No,No,,138,
US,RailWorks Corp.,2,"New York, NY",RailWorks,railworks.com,"Rail, transit",High,No,No,,139,
US,Las Vegas Paving Corp.,2,"Las Vegas, NV",Las Vegas Paving,lasvegaspaving.com,"Highways, site development",High,No,No,,140,
US,APTIM,2,"Baton Rouge, LA",APTIM,aptim.com,"Environmental, energy, government",Low,No,No,,141,
US,MWH Constructors,2,"Broomfield, CO",MWH Constructors,mwhconstructors.com,Water and wastewater,High,Yes,No,,142,Water treatment — high mass-concrete content.
US,Nan Inc.,2,"Honolulu, HI",Nan Inc.,nanhawaii.com,"Buildings, civil (Hawaii)",High,No,No,,143,
US,Lee Lewis Construction,2,"Lubbock, TX",Lee Lewis,leelewisconstruction.com,"Education, healthcare",Medium,No,No,,144,
US,Rodgers Builders,2,"Charlotte, NC",Rodgers,rodgersbuilders.com,"Healthcare, education",Medium,No,No,,145,
US,J.P. Cullen & Sons,2,"Janesville, WI",J.P. Cullen,jpcullen.com,"Industrial, healthcare, restoration",High,No,No,,146,
US,Great Lakes Dredge & Dock Corp.,2,"Houston, TX",Great Lakes Dredge & Dock,gldd.com,"Dredging, coastal protection",High,No,No,,147,
US,LEMOINE,2,"Lafayette, LA",LEMOINE,lemoinecompany.com,"Buildings, disaster recovery, water",High,No,No,,148,
US,Bulley & Andrews,2,"Chicago, IL",Bulley & Andrews,bulley.com,"Commercial, institutional, concrete self-perform",High,No,No,,149,Self-performs concrete.
US,Branch Group,2,"Roanoke, VA",Branch Group,branchgroup.com,"Civil, buildings",High,No,No,,150,
US,Clancy & Theys Construction Co.,2,"Raleigh, NC",Clancy & Theys,clancytheys.com,"Commercial, healthcare, education",Medium,No,No,,151,
US,Electrical Consultants Inc.,2,"Billings, MT",ECI,eciusa.com,Transmission and substation,Low,No,No,,152,
US,Weis Builders,2,"Minneapolis, MN",Weis Builders,weisbuilders.com,"Multifamily, hospitality, retail",High,No,No,,153,
US,Carroll Daniel Construction Co.,2,"Gainesville, GA",Carroll Daniel,carrolldaniel.com,"Education, industrial",Medium,No,No,,154,
US,Orion Group Holdings,2,"Houston, TX",Orion Group,oriongroupholdingsinc.com,"Marine construction, concrete",High,No,No,,155,
US,Matrix Service Co.,2,"Tulsa, OK",Matrix Service,matrixservicecompany.com,"Storage tanks, energy infrastructure",Low,No,No,,156,
US,C.W. Driver Cos.,2,"Pasadena, CA",C.W. Driver,cwdriver.com,"Education, healthcare (SoCal)",High,No,No,,157,
US,Stellar Group,2,"Jacksonville, FL",Stellar,stellar.net,"Cold storage, food processing",Medium,No,No,,158,
US,O&G Industries,2,"Torrington, CT",O&G Industries,ogind.com,"Buildings, heavy civil, materials",High,No,No,,159,
US,Samet Corp.,2,"Greensboro, NC",Samet,sametcorp.com,"Industrial, commercial, multifamily",High,No,No,,160,
US,PARIC Holdings Group,2,"Creve Coeur, MO",PARIC,paric.com,"Multifamily, education, commercial",High,No,No,,161,
US,Graycor,2,"Oakbrook Terrace, IL",Graycor,graycor.com,"Industrial, commercial",High,No,No,,162,
US,Sletten Cos.,2,"Great Falls, MT",Sletten,slettencompanies.com,"Heavy civil, buildings",High,No,No,,163,
US,C D Smith Construction,2,"Fond du Lac, WI",C D Smith,cdsmith.com,"Commercial, industrial, concrete self-perform",High,No,No,,164,Self-performs concrete.
US,CR Meyer,2,"Oshkosh, WI",CR Meyer,crmeyer.com,"Industrial, pulp & paper",Medium,No,No,,165,
US,Summit Contracting Group,2,"Jacksonville, FL",Summit Contracting,summitcontracting.com,Multifamily,High,No,No,,166,
US,Skyline Construction,2,"San Francisco, CA",Skyline,skylineconstruction.build,Interiors,Low,No,No,,167,
US,S&B,2,"Houston, TX",S&B Engineers and Constructors,sbec.com,"Petrochemical, industrial",Low,No,No,,168,
US,Saulsbury Industries,2,"Odessa, TX",Saulsbury,saulsbury.com,"Energy, industrial EPC",Low,No,No,,169,
US,FCI Constructors,2,"Grand Junction, CO",FCI,fciol.com,"Education, commercial, civil",Medium,No,No,,170,
US,VCC,2,"The Colony, TX",VCC,vccusa.com,"Retail, multifamily, hospitality",Medium,No,No,,171,
US,Pike Construction Services,2,"Rochester, NY",Pike,pikecompanies.com,"Commercial, healthcare, education",Medium,No,No,,172,
US,Granger Construction Co.,2,"Lansing, MI",Granger,grangerconstruction.com,"Healthcare, education",Medium,No,No,,173,
US,Williams Brothers Construction,2,"Houston, TX",Williams Brothers,wbchouston.com,"Highways, bridges (Texas)",High,No,No,,174,
US,Keeley Construction Group,2,"St. Louis, MO",Keeley,keeleycompanies.com,"Civil, concrete self-perform, industrial",High,No,No,,175,New entrant. Self-performs concrete.
US,Southland Holdings,2,"El Paso, TX",Southland Holdings,southlandholdings.com,"Bridges, tunnels, water",High,No,No,,176,New entrant.
US,Chasse Building Team,2,"Tempe, AZ",Chasse,chasse.us,"Education, commercial",Medium,No,No,,177,
US,Gemma Power Systems,2,"Glastonbury, CT",Argan Inc.,gemmapower.com,Power plant EPC,Medium,No,No,,178,
US,Kraus-Anderson Construction Co.,2,"Minneapolis, MN",Kraus-Anderson,krausanderson.com,"Education, healthcare, commercial",Medium,No,No,,179,
US,Lease Crutcher Lewis,2,"Seattle, WA",Lease Crutcher Lewis,lewisbuilds.com,"Life sciences, education, commercial",High,No,No,,180,
US,Cajun Industries,2,"Baton Rouge, LA",Cajun Industries,cajunusa.com,"Industrial, civil, marine",High,No,No,,181,
US,Willmeng Construction,2,"Phoenix, AZ",Willmeng,willmeng.com,"Commercial, industrial",Medium,No,No,,182,
US,Peinado Construction,2,"Frisco, TX",Peinado,peinadoconstruction.com,Multifamily,High,No,No,,183,
US,Landmark Construction,2,"Athens, GA",Landmark,landmarkconstructionco.com,"Multifamily, student housing",High,No,No,,184,
US,XL Construction,2,"Milpitas, CA",XL Construction,xlconstruction.com,"Life sciences, education, tech",High,No,No,,185,
US,H&M Co.,2,"Jackson, TN",H&M,hmcompanyinc.com,"Highways, heavy civil",High,No,No,,186,
US,W. M. Jordan Co.,2,"Newport News, VA",W.M. Jordan,wmjordan.com,"Education, healthcare, commercial",Medium,No,No,,187,
US,Pioneer General Contractors,2,"Grand Rapids, MI",Pioneer,pioneerinc.com,"Industrial, commercial",Medium,No,No,,188,Up 62 places.
US,Hanover Co.,2,"Houston, TX",Hanover Company,hanoverco.com,Multifamily developer-builder,High,No,No,,189,
US,DeAngelis Diamond,2,"Naples, FL",DeAngelis Diamond,deangelisdiamond.com,"Healthcare, multifamily, commercial",High,No,No,,190,
US,Hausmann Construction,2,"Lincoln, NE",Hausmann,hausmannconstruction.com,"Education, commercial",Medium,No,No,,191,Up 71 places.
US,KAST Construction,2,"West Palm Beach, FL",KAST,kastconstruction.com,"High-rise residential, hospitality",High,No,No,,192,
US,Staker Parson Materials & Construction,2,"Ogden, UT",Oldcastle / CRH,stakerparson.com,"Materials, highways",Medium,No,Yes,,193,CRH-owned — same group as Tarmac UK.
US,Nexamp,2,"Boston, MA",Nexamp,nexamp.com,Community solar,Low,No,No,,194,
US,Independence Construction,2,"Brecksville, OH",Independence Construction,independence-construction.com,"Industrial, commercial",Medium,No,No,,195,
US,Crowder Constructors,2,"Charlotte, NC",Crowder,crowderusa.com,"Water, energy, heavy civil",High,No,No,,196,
US,Batson-Cook Construction,2,"Atlanta, GA",Kajima Corp.,batson-cook.com,"Commercial, hospitality, healthcare",High,No,No,,197,
US,Zachry Construction Corp.,2,"San Antonio, TX",Zachry Group,zachrycorp.com,"Heavy civil, highways, industrial",High,No,No,,198,
US,Oltmans Construction Co.,2,"Whittier, CA",Oltmans,oltmans.com,"Industrial, logistics (SoCal)",High,No,No,,199,
US,M. B. Kahn Construction Co.,2,"Columbia, SC",M.B. Kahn,mbkahn.com,"Education, healthcare, commercial",Medium,No,No,,200,
