Name,Country,Region,Location,Lat,Lng,Project type,Work nature,Project stage,Status,Client,General contractor/JV,General contractor,JV / parents,Concrete subcontractor,Competitor present,Value,Currency,Value band,Announced,Tender deadline,Expected concrete start,Expected completion,Concrete opportunity,Fit,Fit profile,Fit reason,Fit dimensions,Product fit,Use case,AE,SDR,Partner route,Partner contact,Source,Notice URL,Notice ID,Summary,Verified,Next action,Next action date,Recontact date,HubSpot deal
Morena Dam improvements,United States,us_west,"San Diego County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,City of San Diego,,,,,,,USD,,,,,,Medium,Low,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (hydraulic), Poor, Extremely High hazard. Acquiring consultant services for comprehensive condition assessment.",__NO__,,,,
Lake Wohlford Dam replacement,United States,us_west,"Escondido, CA",,,Dam / hydro / reservoir,Replacement,PCSA / preconstruction,New,City of Escondido,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Extremely High hazard. Replacement dam designed downstream of existing dam. EIR CERTIFIED, obtaining environmental permits.",__NO__,,,,
Rice Avenue / Fifth St / SR-34 Grade Separation,United States,us_west,"Oxnard, CA",,,Bridge / viaduct,New build,Main works / on site,New,City of Oxnard + Caltrans D7 + Ventura County,Security Paving,,,,,135,USD,50-250M,,,,2029-12-31,Medium,High,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://vidanewspaper.com/2025/02/27/city-breaks-ground-on-bridge/,,VERIFIED Aug 2026: completion 2029 not 2027. Six-lane bridge over Fifth St/SR-34 and UP Santa Barbara Subdivision + connector ramp + ~250ft realignment. CPUC 4th most dangerous crossing in state. ~3 years of structure work remaining.,__NO__,,,,
Port of Hueneme PACED programme,United States,us_west,"Port Hueneme, CA",,,Port / marine,Refurbishment / retrofit,Main works / on site,New,Port of Hueneme,,,,,,80,USD,50-250M,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://news.yahoo.com/oxnard-port-hueneme-95m-infrastructure-140035300.html,,"$80m state grant. Demolition, BERTH DEEPENING, zero-emission plug-in infrastructure.",__NO__,,,,
Naval Base Ventura County MILCON,United States,us_west,"Point Mugu / Port Hueneme, CA",,,Prison / justice / defence,Unknown,Unknown,New,NAVFAC Southwest,,,,,,,USD,,,,,,Unknown,Low,Mass-concrete civils,,,Cure / Signal,Unknown,lawson,reed,TBD,,NEWS,https://pacific.navfac.navy.mil/Facilities-Engineering-Commands/NAVFAC-Southwest/Our-Services/Public-Works/PWD-Naval-Base-Ventura-County/,,Rolling MILCON. Combine with the NAVFAC pass.,__NO__,,,,
Matilija Dam removal programme,United States,us_west,"Ventura County, CA",,,Dam / hydro / reservoir,Replacement,Planning / pre-tender,New,Ventura County Watershed Protection District,,,,,,,USD,,,,,2035-12-31,Medium,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted, Poor, Extremely High hazard. Dam REMOVAL by 2035 preceded by six downstream infrastructure projects - those are the opportunity, not the dam.",__NO__,,,,
Imperial Data Center (IVCM),United States,us_west,"Imperial County, CA",,,Data centre,New build,Planning / pre-tender,New,Imperial Valley Computer Manufacturing LLC,,,,,,10000,USD,250M+,,,,,Large,Low,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://calmatters.org/newsletter/data-center-imperial-county/,,"NOT APPROVED. 950,000 sq ft, 330MW, 862MWh storage. Would be California's largest DC. Opinion and officials turned against it mid-2026. WATCHLIST ONLY - do not build contacts.",__NO__,,,,
I-10 / Monroe St interchange,United States,us_west,"Indio, CA",,,Highway / road,Widening / twinning,Planning / pre-tender,New,Caltrans D8 + City of Indio,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://dot.ca.gov/caltrans-near-me/district-8/district-8-news/?page=3,,Reconstruction and widening of Monroe St at I-10.,__NO__,,,,
I-10 / Jackson St interchange,United States,us_west,"Coachella Valley, CA",,,Highway / road,Replacement,Planning / pre-tender,New,Caltrans D8,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://dot.ca.gov/caltrans-near-me/district-8/district-8-news/?page=3,,Interchange reconstruction. Environmental document issued.,__NO__,,,,
"UCSF Health Helen Diller Hospital, Parnassus Heights",United States,us_west,"San Francisco, CA",,,Hospital / healthcare,New build,Main works / on site,New,UCSF,HBW JV (Herrero / Boldt / Webcor),,,,,4300,USD,250M+,,,Live now,2030-12-31,Large,High,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://constructionreviewonline.com/us4-3-billion-ucsf-hospital-expansion-in-progress-san-francisco/,,"15 storeys, 294ft, ~880,000 sq ft, 324 beds. Lower slabs, foundations and basement structures COMPLETED APRIL 2026; now vertical with multiple tower cranes. Campus programme ~2m sq ft.",__NO__,,,,
The Portal / Downtown Rail Extension (DTX),United States,us_west,"San Francisco, CA",,,Rail / metro,New build,Planning / pre-tender,New,Transbay Joint Powers Authority,AECOM (PM/CM),,,,,8250,USD,250M+,,,,2035-12-31,Large,High,Mass-concrete civils,,,"MixAI,Data Hub,Cure / Signal",Tunnel linings,lawson,reed,TBD,,NEWS,https://www.constructiondive.com/news/portal-project-aecom-san-francisco/725162/,,"2.2 miles, two stations, Fourth & King to Salesforce Transit Center incl new underground station at 4th and Townsend. Deep station boxes, cut-and-cover. $3.4bn federal pledge. Opens ~2035.",__NO__,,,,
Pier 70 redevelopment,United States,us_west,"Dogpatch, San Francisco, CA",,,Residential,New build,Planning / pre-tender,New,Port of San Francisco + Brookfield Properties,,,,,,3000,USD,250M+,,,,,Large,Medium,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://www.commercialsearch.com/news/top-projects-that-will-reshape-the-san-francisco-bay-area/,,"28 acres, ~2,150 units, ~1.7m sq ft office, 9 acres parks, three historic rehabs. Verify funded phases.",__NO__,,,,
Treasure Island / Yerba Buena Island development,United States,us_west,"Treasure Island, San Francisco, CA",,,Residential,New build,Main works / on site,New,Treasure Island Development Authority,,,,,,2400,USD,250M+,,,,,Large,Medium,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",Piling / foundations,lawson,reed,TBD,,NEWS,https://www.sfmta.com/projects/treasure-island-yerba-buena-island-project,,"405 acres, 8,000-10,000 units, ~290-300 acres parks. $2.4bn infrastructure. ENTIRELY FILLED LAND - ground improvement and deep foundations throughout. Phase Two launched June 2026.",__NO__,,,,
Mission Rock,United States,us_west,"Mission Bay, San Francisco, CA",,,Residential,Phase of larger scheme,Finishing,Recontact later,SF Giants + Tishman Speyer,,,,,,,USD,,,,,,Small,Low,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://www.commercialsearch.com/news/top-projects-that-will-reshape-the-san-francisco-bay-area/,,"1.4m sq ft commercial, ~1,300 units, four phases. Phase 1 completing. Only pursue if Phase 2+ has a confirmed start.",__NO__,,,,
Westside Bridges Seismic Retrofit,United States,us_west,"Treasure Island, San Francisco, CA",,,Bridge / viaduct,Refurbishment / retrofit,Finishing,Disqualified,SFCTA,,,,,,124,USD,50-250M,,,,,Small,Disqualified,Mass-concrete civils,,,,Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://www.sfcta.org/westsidebridges,,DISQUALIFIED: $124m but completing 2026.,__NO__,,,,
Hillcrest Road Improvement Project,United States,us_west,"Yerba Buena Island, San Francisco, CA",,,Highway / road,Refurbishment / retrofit,Finishing,Disqualified,SFCTA,,,,,,37,USD,Under 50M,,,,,Small,Disqualified,Mass-concrete civils,,,,Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.sfcta.org/blogs/infrastructure-projects-yerba-buena-and-treasure-islands-take-shape,,"DISQUALIFIED: $37m, completing 2026.",__NO__,,,,
San Andreas Dam and Spillway improvements,United States,us_west,"San Mateo County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,SFPUC,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted, Extremely High hazard. Part of SFPUC's 15-YEAR DAM SAFETY IMPROVEMENT PLAN. Portfolio account opportunity.",__NO__,,,,
Moccasin Lower Dam auxiliary spillway,United States,us_west,"Tuolumne County, CA",,,Dam / hydro / reservoir,New build,Planning / pre-tender,New,SFPUC,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,DSOD restricted (hydraulic). Preliminary design of NEW WIDER AND DEEPER AUXILIARY SPILLWAY to pass latest PMF. Part of SFPUC programme.,__NO__,,,,
Early Intake Dam replacement,United States,us_west,"Tuolumne County, CA",,,Dam / hydro / reservoir,Replacement,Planning / pre-tender,New,SFPUC,,,,,,,USD,,,,,,Medium,Low,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,DSOD restricted. Short-term fix rejected as too expensive; moved to LONG-TERM FIX OR REPLACEMENT. Part of SFPUC programme.,__NO__,,,,
BART Silicon Valley Phase II (BSVII),United States,us_west,"San Jose to Santa Clara, CA",,,Tunnel,New build,PCSA / preconstruction,New,Santa Clara VTA,,,,,,12750,USD,250M+,,,,2036-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub,FieldAtlas",Tunnel linings,lawson,reed,TBD,,NEWS,https://www.enr.com/articles/61798-single-bore-tunnel-method-chosen-for-bart-silicon-valley-phase-ii,,"6 miles, 4 stations. FIVE-MILE ~53FT DIAMETER SINGLE-BORE MEGA TUNNEL, two trackways inside, ~16.4m Herrenknecht TBM ($76m). Launch structure under construction at Newhall Yard since June 2025. Tunnel award Q2 2027, tunnelling 2029. KST re-procured in 2025 after bids came in at 2x budget - COST CONTAINMENT is stated client priority.",__NO__,,,,
Anderson Dam Seismic Retrofit,United States,us_west,"Morgan Hill, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Awarded - pre-start,New,Santa Clara Valley Water District,Flatiron Dragados Sukut ADSRP JV,,,,,2800,USD,250M+,,,Jan 2027,2033-12-31,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.constructiondive.com/news/flatiron-dragados-sukut-jv-anderson-dam-project/826724/,,"CORRECTED Aug 2026: $1.88bn construction contract AWARDED 28 July 2026 (not a construction start). Outlet tunnel completes later 2026; reservoir draining + seven-year reconstruction begin ~1 Jan 2027, finish 2033. Rebuilds most of the 235-240ft earthfill dam and spillway, new outlet pipes. Reservoir at 3% capacity, restricted ~55ft below crest.",__NO__,,,,
"Sutter Medical Center, Santa Clara",United States,us_west,"Santa Clara, CA",,,Hospital / healthcare,New build,Planning / pre-tender,New,Sutter Health,,,,,,2800,USD,250M+,,,,2031-12-31,Large,High,Schedule-critical vertical build,,,"MixAI,Data Hub,Cure / Signal",In-situ frame,lawson,reed,TBD,,NEWS,https://www.beckershospitalreview.com/capital/sutters-2-8b-silicon-valley-plan-includes-new-medical-center/,,"8 storeys, ~850,000 sq ft, 272 beds, 13.63 acres near Levi's Stadium. Dual-campus with ~1m sq ft ambulatory. Announced Nov 2025, hospital opens 2031. Design stage - strong spec-in window.",__NO__,,,,
Goodman Group Silicon Valley data centre,United States,us_west,"San Jose, CA",,,Data centre,New build,Planning / pre-tender,New,Goodman Group,,,,,,,USD,,,,,,Medium,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.blackridgeresearch.com/blog/latest-list-of-upcoming-data-centers-in-california-united-states-us,,"97.3 MW, two buildings, ~414,000 sq ft.",__NO__,,,,
Sutter Health Santa Clara ambulatory buildings,United States,us_west,"Santa Clara, CA",,,Hospital / healthcare,Refurbishment / retrofit,Main works / on site,Recontact later,Sutter Health,DPR Construction,,,,,,USD,,,,,,Small,Low,Schedule-critical vertical build,,,,In-situ frame,lawson,reed,TBD,,NEWS,https://www.dpr.com/projects/sutter-health-santa-clara,,"TENANT IMPROVEMENTS to 1980s office structures, not new frames. Low concrete. Use as account entry to the $2.8bn programme only.",__NO__,,,,
Calero Dam Seismic Retrofit,United States,us_west,"Santa Clara County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,Santa Clara Valley Water District,,,,,,142,USD,50-250M,,,,,Medium,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.valleywater.org/project-updates/dam-reservoir-projects/calero-dam-seismic-retrofit-project,,"DSOD restricted (seismic), Extremely High hazard. EMBANKMENT AND SPILLWAY UPGRADES PRIORITISED then outlet works. Phase 1 at 50% design under DSOD review. Draft EIR summer 2026.",__NO__,,,,
Guadalupe Dam Seismic Retrofit,United States,us_west,"South San Jose, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,Santa Clara Valley Water District,,,,,,,USD,,,,,,Medium,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.valleywater.org/project-updates/guadalupe-dam-seismic-retrofit-project,,"DSOD restricted 18ft below spillway crest, Extremely High hazard. NEW OUTLET SYSTEM and NEW SPILLWAY to current design standards.",__NO__,,,,
Almaden Dam Improvement Project,United States,us_west,"Santa Clara County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,Santa Clara Valley Water District,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.valleywater.org/project-updates/almaden-dam-improvement-project,,"DSOD DOWNGRADED FAIR TO POOR 2023-24, hold removed, design phase from Q1 2025. Intake tower and spillway capacity works. 110ft earth-filled dam.",__NO__,,,,
Pacheco Reservoir Expansion Project,United States,us_west,"Santa Clara / San Benito counties, CA",,,Dam / hydro / reservoir,Extension,Planning / pre-tender,Disqualified,Santa Clara Valley Water District,,,,,,2500,USD,250M+,,,,,Small,Disqualified,Mass-concrete civils,,,,Mass concrete,lawson,reed,TBD,,NEWS,https://www.valleywater.org/project-updates/a1-pacheco-reservoir-expansion-project,,DISQUALIFIED: Valley Water Board formally voted April 2024 NOT to implement. $2.5bn. Do not pursue.,__NO__,,,,
Bethany Reservoir Pumping Plant & Aqueduct (Delta Conveyance),United States,us_west,"near Livermore, CA",,,Water treatment,New build,Planning / pre-tender,New,California DWR,,,,,,,USD,,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Marine / water-retaining,lawson,reed,TBD,,NEWS,https://www.yvwd.us/news_detail_T38_R225.php,,"6,000-cfs pumping plant, wet well and dry pit structures, 14 vertical centrifugal pumps, surge basin and shaft, four 15ft parallel pipelines, discharge structure. MOST CONCRETE-DENSE ELEMENT OF DCP. Subject to DCP proceeding.",__NO__,,,,
"Avaio Digital / Perseus data centre, Pittsburg",United States,us_west,"Pittsburg, CA",,,Data centre,New build,Main works / on site,New,Avaio Digital Partners,,,,,,800,USD,250M+,,,,,Large,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://datacenterups.com/northern-california-data-center-contractors/,,"92 MW at Pittsburg Technology Park. 90% zero-carbon power, 100% recycled water cooling. VERIFY remaining phases - phase 1 may be spent.",__NO__,,,,
Lower San Joaquin River Project (levees),United States,us_west,"Stockton reaches, CA",,,Flood & coastal defence,Refurbishment / retrofit,Main works / on site,New,USACE Sacramento District,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://www.dvidshub.net/unit/USACE-SD,,Tenmile Slough Reach 30 Left Bank ACTIVE as of July 2026. Levee works with seepage cutoff walls. Programme relationship with USACE Sacramento District.,__NO__,,,,
Lafayette Dam tower seismic upgrades,United States,us_west,"Lafayette, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,PCSA / preconstruction,New,East Bay Municipal Utility District,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,MixAI",Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted (seismic), Extremely High hazard. Dam safe but TOWER REQUIRES SEISMIC UPGRADES. Reservoir lowered; construction was planned 2024 - VERIFY current status.",__NO__,,,,
Sacramento Weir Widening & Bypass,United States,us_west,"West Sacramento, Yolo County, CA",,,Flood & coastal defence,Extension,Main works / on site,New,USACE Sacramento District,Granite,,,,,173,USD,50-250M,,,,,Medium,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.constructionspecifier.com/usace-awards-173m-contract-for-sacramento-river-mitigation-project/,,"Structural concrete: WEIR CREST STRUCTURE with adjoining stilling basin, fish passage and fish ladder facility, and a 25-SPAN VEHICLE BRIDGE. Plus riprap on levee embankments. Began July 2023 - VERIFY completion date, may be closing out.",__NO__,,,,
West Sacramento Levee Improvement Project,United States,us_west,"West Sacramento, CA",,,Flood & coastal defence,Refurbishment / retrofit,Main works / on site,New,USACE Sacramento District,,,,,,,USD,,,,,,Medium,Medium,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://www.spk.usace.army.mil/Missions/Civil-Works/West-Sacramento-Levee-Improvement-Project/,,Seepage cutoff walls and levee raising. Programme relationship.,__NO__,,,,
Tehama-Colusa Canal improvements,United States,us_west,"Sacramento Valley, CA",,,Water treatment,Refurbishment / retrofit,Planning / pre-tender,Disqualified,Bureau of Reclamation,,,,,,15,USD,Under 50M,,,,,Small,Disqualified,Mass-concrete civils,,,,Marine / water-retaining,lawson,reed,TBD,,NEWS,https://thebusinessjournal.com/540m-federal-investment-to-revamp-central-valley-water-infrastructure/,,"DISQUALIFIED: $15m allocated March 2026, below threshold.",__NO__,,,,
Shasta Dam enlargement,United States,us_west,"Shasta County, CA",,,Dam / hydro / reservoir,Extension,Planning / pre-tender,Recontact later,Bureau of Reclamation,,,,,,40,USD,Under 50M,,,,,Large,Low,Mass-concrete civils,,,"MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://thebusinessjournal.com/540m-federal-investment-to-revamp-central-valley-water-infrastructure/,,"$40m PLANNING AND PRECONSTRUCTION ONLY. Would add 634,000 acre-feet. Authorised but politically stalled. Watchlist.",__NO__,,,,
Lake Curry Dam spillway re-design,United States,us_west,"Solano County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,City of Vallejo,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,"DSOD restricted, Extremely High hazard. Radial gates to be assessed for replacement or removal on completion of SPILLWAY RE-DESIGN.",__NO__,,,,
St. Helena Lower Dam removal,United States,us_west,"Napa County, CA",,,Dam / hydro / reservoir,Replacement,Planning / pre-tender,Recontact later,City of Saint Helena,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,DSOD restricted (seismic). Maintain reduced capacity until funding secured to REMOVE the dam. Low value.,__NO__,,,,
Sacramento International Airport SMForward,United States,us_west,"Sacramento (Natomas), CA",,,Airport,Extension,Main works / on site,New,Sacramento County Airport System,,,,,,1400,USD,250M+,,,,2028-12-31,Large,Medium,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://www.hotelnewsresource.com/article141955.html,,"Multi-phase terminal and landside modernisation and expansion, completion 2028. Verify unlet packages.",__NO__,,,,
"Kaiser Permanente medical center, Sacramento Railyards",United States,us_west,"Sacramento Railyards, CA",,,Hospital / healthcare,New build,Main works / on site,New,Kaiser Permanente,,,,,,,USD,,,,,2029-12-31,Unknown,Medium,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://www.abc10.com/article/news/local/sacramento/sacramento-railyards-construction-is-underway-heres-what-is-being-built/103-5c18fe55-b1cf-4613-a176-8aef64f4e68c,,"Under construction - steel columns rising July 2026, opens 2029. VERIFY structural system and value; steel-framed may mean lower concrete content.",__NO__,,,,
Republic FC Stadium at The Railyards,United States,us_west,"Sacramento Railyards, CA",,,Stadium / arena / convention,New build,Main works / on site,New,Sacramento Republic FC + Wilton Rancheria,HNTB (architect),,,,,252,USD,250M+,,,,2028-06-30,Medium,High,Schedule-critical vertical build,,,"Cure / Signal,Data Hub",In-situ frame,lawson,reed,TBD,,NEWS,https://canada.constructconnect.com/dcn/news/usa/2026/06/republic-stadium-construction-underway-in-sacramentos-historic-railyards,,"20,000 seats (27,000 concerts), 31 acres. Broke ground Aug 2025, construction through 2027, opens 2028. Redesigned March 2026 adding 8,000 seats + canopy. Bowl, rakers, concourse decks. Hard 2028 date makes schedule the pressure point.",__NO__,,,,
CNU Innovation Park teaching hospital,United States,us_west,"Sacramento (former Sleep Train Arena), CA",,,Hospital / healthcare,New build,Planning / pre-tender,New,California Northstate University,,,,,,,USD,,,,,2029-12-31,Unknown,Medium,Schedule-critical vertical build,,,Cure / Signal,In-situ frame,lawson,reed,TBD,,NEWS,https://www.hotelnewsresource.com/article141955.html,,"350-bed teaching hospital. Could break ground 2026, opens 2029. VERIFY it has actually broken ground - long history of slipping.",__NO__,,,,
American River Common Features (ARCF) levee programme,United States,us_west,"Sacramento, CA",,,Flood & coastal defence,Refurbishment / retrofit,Main works / on site,New,USACE Sacramento District,,,,,,,USD,,,,,,Medium,Low,Mass-concrete civils,,,"Cure / Signal,Data Hub",Culverts / ancillary structures,lawson,reed,TBD,,NEWS,https://sam.gov/opp/1c8d8071883f4e12afea613f98975a13/view,,"Individual contracts $27-30m+. Contract 3A completed 2025; LAR Project 2 (Sites 2-2 and 2-3) in procurement, ~7,800ft bank protection. MOSTLY EARTHWORK AND RIPRAP - pursue as USACE relationship not project-by-project.",__NO__,,,,
NTT Sacramento data centre campus,United States,us_west,"Natomas / North Sacramento, CA",,,Data centre,Extension,Main works / on site,New,NTT,,,,,,,USD,,,,,,Medium,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.blackridgeresearch.com/blog/latest-list-of-upcoming-data-centers-in-california-united-states-us,,"650,000 sq ft - largest single-site DC campus in California by floor area. 52.7MW operating. Verify future phases.",__NO__,,,,
Prime Data Centers McClellan Park expansion,United States,us_west,"McClellan Park, Sacramento, CA",,,Data centre,Extension,Main works / on site,New,Prime Data Centers,,,,,,,USD,,,,,,Medium,Medium,Precast & batching supply,,,"Cure / Signal,Data Hub",Slabs / pavements,lawson,reed,TBD,,NEWS,https://www.abridged.org/news/data-centers-planned-in-sacramento/,,Adding an 18MW building to reach a 44MW two-building campus. Confirmed active.,__NO__,,,,
7th & Railyards light rail station,United States,us_west,"Sacramento, CA",,,Rail / metro,New build,Finishing,Disqualified,SacRT,,,,,,,USD,,,,,,Small,Disqualified,Mass-concrete civils,,,,Slabs / pavements,lawson,reed,TBD,,NEWS,https://en.wikipedia.org/wiki/7th_%26_Railyards_station,,DISQUALIFIED: opens summer 2026.,__NO__,,,,
Lake Alta Dam improvements,United States,us_west,"Placer County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Planning / pre-tender,New,Placer County Water Agency,,,,,,,USD,,,,,,Small,Low,Mass-concrete civils,,,Cure / Signal,Mass concrete,lawson,reed,TBD,,NEWS,https://cwc.ca.gov/-/media/DWR-Website/Web-Pages/Programs/All-Programs/Division-of-Safety-of-Dams/Files/Publications/Dams-Within-Jurisdiction-of-the-State-of-California-with-Restrictions-September-2022.pdf,,DSOD restricted (hydraulic). DSOD review of geotechnical and stability analysis needed before design progresses.,__NO__,,,,
B.F. Sisk Dam Safety of Dams Modification,United States,us_west,"Los Banos, Merced County, CA",,,Dam / hydro / reservoir,Refurbishment / retrofit,Main works / on site,New,Bureau of Reclamation / DWR,,,,,,100,USD,50-250M,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.usbr.gov/mp/sccao/sisk/raise.html,,"UNDER CONSTRUCTION. 12ft crest raise for seismic safety on a 382ft, 3.5-mile earthfill embankment impounding San Luis Reservoir (largest off-stream reservoir in the nation).",__NO__,,,,
B.F. Sisk Dam Raise & Reservoir Expansion,United States,us_west,"Los Banos, Merced County, CA",,,Dam / hydro / reservoir,Extension,PCSA / preconstruction,New,Bureau of Reclamation + San Luis & Delta-Mendota Water Authority,,,,,,1000,USD,250M+,,,,,Large,High,Mass-concrete civils,,,"Cure / Signal,MixAI,Data Hub",Mass concrete,lawson,reed,TBD,,NEWS,https://www.doi.gov/pressreleases/biden-harris-administration-and-san-luis-delta-mendota-water-authority-approve-plan-bf,,"ROD Oct 2023 - first major CA water storage approval since 2011. Further 10ft crest raise for 130,000 acre-feet. Scope: downstream stability berms, crack filters, and RAISING THE OUTLET WORKS, INTAKE TOWERS, ACCESS BRIDGE AND SPILLWAY INTAKE by 10ft, plus SR-152 mods. $338m federal secured.",__NO__,,,,
